facturacion_id,afiliado_id,periodo,monto_cuota,fecha_vencimiento,fecha_pago,estado_pago,dias_mora
1,1,2020-05-01,120000,2020-05-11,2020-05-11,Pagado,0
2,1,2020-06-01,120000,2020-06-11,2020-06-06,Pagado,0
3,1,2020-07-01,120000,2020-07-11,2020-07-10,Pagado,0
4,1,2020-08-01,120000,2020-08-11,2020-08-11,Pagado,0
5,1,2020-09-01,120000,2020-09-11,2020-09-30,Pagado,19
6,1,2020-10-01,120000,2020-10-11,2020-10-10,Pagado,0
7,1,2020-11-01,120000,2020-11-11,2020-11-06,Pagado,0
8,1,2020-12-01,120000,2020-12-11,2020-12-10,Pagado,0
9,1,2021-01-01,120000,2021-01-11,2021-01-09,Pagado,0
10,1,2021-02-01,120000,2021-02-11,2021-02-10,Pagado,0
11,1,2021-03-01,120000,2021-03-11,2021-03-10,Pagado,0
12,1,2021-04-01,120000,2021-04-11,2021-04-07,Pagado,0
13,1,2021-05-01,120000,2021-05-11,2021-05-08,Pagado,0
14,1,2021-06-01,120000,2021-06-11,2021-06-11,Pagado,0
15,1,2021-07-01,120000,2021-07-11,2021-07-11,Pagado,0
16,1,2021-08-01,120000,2021-08-11,2021-08-07,Pagado,0
17,1,2021-09-01,120000,2021-09-11,2021-09-10,Pagado,0
18,1,2021-10-01,120000,2021-10-11,2021-10-10,Pagado,0
19,1,2021-11-01,120000,2021-11-11,2021-11-08,Pagado,0
20,1,2021-12-01,120000,2021-12-11,2021-12-11,Pagado,0
21,1,2022-01-01,120000,2022-01-11,2022-01-10,Pagado,0
22,1,2022-02-01,120000,2022-02-11,2022-02-11,Pagado,0
23,1,2022-03-01,120000,2022-03-11,2022-03-06,Pagado,0
24,1,2022-04-01,120000,2022-04-11,2022-04-11,Pagado,0
25,1,2022-05-01,120000,2022-05-11,2022-05-09,Pagado,0
26,1,2022-06-01,120000,2022-06-11,2022-07-03,Pagado,22
27,1,2022-07-01,120000,2022-07-11,2022-08-10,Pagado,30
28,1,2022-08-01,120000,2022-08-11,2022-08-07,Pagado,0
29,1,2022-09-01,120000,2022-09-11,2022-09-22,Pagado,11
30,1,2022-10-01,120000,2022-10-11,2022-10-06,Pagado,0
31,1,2022-11-01,120000,2022-11-11,2022-11-07,Pagado,0
32,1,2022-12-01,120000,2022-12-11,2022-12-11,Pagado,0
33,1,2023-01-01,120000,2023-01-11,,Moroso,1175
34,2,2022-06-01,75000,2022-06-11,2022-06-11,Pagado,0
